WARD,MTEA,Other,total_votes,per_MTEA,per_Other,sway
102,323,158,481,0.6715176715176715,0.3284823284823285,34.3035343035343
103,315,183,498,0.6325301204819277,0.3674698795180723,26.506024096385538
104,227,121,348,0.6522988505747126,0.34770114942528735,30.459770114942526
105,66,34,100,0.66,0.34,32
106,51,31,82,0.6219512195121951,0.3780487804878049,24.390243902439025
107,136,74,210,0.6476190476190476,0.3523809523809524,29.523809523809526
108,128,56,184,0.6956521739130435,0.30434782608695654,39.13043478260869
109,39,57,96,0.40625,0.59375,-18.75
110,19,22,41,0.4634146341463415,0.5365853658536586,-7.3170731707317085
111,22,25,47,0.46808510638297873,0.5319148936170213,-6.382978723404253
112,49,31,80,0.6125,0.3875,22.500000000000004
113,47,22,69,0.6811594202898551,0.3188405797101449,36.23188405797102
114,132,59,191,0.6910994764397905,0.3089005235602094,38.21989528795811
115,175,72,247,0.708502024291498,0.291497975708502,41.7004048582996
116,22,12,34,0.6470588235294118,0.35294117647058826,29.411764705882355
117,30,30,60,0.5,0.5,0
118,109,64,173,0.63005780346820806,0.3699421965317919,26.011560693641616
119,64,42,106,0.6037735849056604,0.39622641509433965,20.75471698113207
120,37,44,81,0.4567901234567901,0.5432098765432098,-8.641975308641975
121,60,49,109,0.5504587155963303,0.44954128440366975,10.091743119266056
122,71,56,127,0.5590551181102362,0.4409448818897638,11.811023622047244
123,194,45,239,0.8117154811715481,0.18828451882845187,62.34309623430963
124,91,53,144,0.6319444444444444,0.3680555555555556,26.388888888888886
125,418,134,552,0.7572463768115942,0.2427536231884058,51.44927536231884
126,353,76,429,0.8228438228438228,0.17715617715617715,64.56876456876456
127,347,107,454,0.76431718061674,0.2356828193832599,52.86343612334801
128,281,135,416,0.6754807692307693,0.3245192307692308,35.09615384615385
129,257,123,380,0.6763157894736842,0.3236842105263158,35.26315789473684
130,87,111,198,0.4393939393939394,0.5606060606060606,-12.121212121212116
131,288,259,547,0.526508226691042,0.473491773308958,5.301645338208405
132,427,377,804,0.5310945273631841,0.4689054726368159,6.218905472636815
