WARD,winner,votes,percent
79,jason_fields,139,0.5767634854771784
80,jason_fields,156,0.41823056300268097
81,aycha_sawa,53,0.4015151515151515
82,aycha_sawa,113,0.4767932489451477
83,jason_fields,98,0.39357429718875503
84,jason_fields,71,0.4057142857142857
85,aycha_sawa,127,0.4601449275362319
86,aycha_sawa,83,0.38425925925925924
87,aycha_sawa,67,0.391812865497076
88,aycha_sawa,79,0.3623853211009174
89,jason_fields,100,0.4366812227074236
90,jason_fields,100,0.43859649122807015
91,jason_fields,170,0.6296296296296297
92,jason_fields,122,0.3824451410658307
93,aycha_sawa,103,0.45374449339207046
94,jason_fields,40,0.5633802816901409
95,jason_fields,73,0.6636363636363637
96,jason_fields,156,0.5416666666666666
97,jason_fields,133,0.5564853556485355
98,jason_fields,146,0.6759259259259259
99,jason_fields,204,0.6276923076923077
100,jason_fields,139,0.6881188118811881
101,jason_fields,180,0.7317073170731707
102,jason_fields,184,0.6237288135593221
103,jason_fields,211,0.6492307692307693
104,jason_fields,172,0.6852589641434262
105,jason_fields,56,0.6436781609195402
106,jason_fields,52,0.7536231884057971
107,jason_fields,87,0.696
108,jason_fields,90,0.7377049180327869
109,jason_fields,79,0.5851851851851851
110,jason_fields,58,0.6666666666666666
111,jason_fields,42,0.6363636363636364
112,jason_fields,85,0.68
113,jason_fields,65,0.6074766355140186
114,jason_fields,87,0.6904761904761905
115,jason_fields,120,0.6936416184971098
116,jason_fields,64,0.7032967032967034
117,jason_fields,55,0.5555555555555556
118,jason_fields,99,0.6923076923076923
119,jason_fields,95,0.625
120,jason_fields,62,0.6391752577319587
121,jason_fields,81,0.7168141592920354
122,jason_fields,87,0.5576923076923077
123,alex_brower,107,0.4798206278026906
124,jason_fields,50,0.4132231404958678
125,alex_brower,233,0.516629711751663
126,alex_brower,191,0.5134408602150538
127,aycha_sawa,168,0.45652173913043476
128,aycha_sawa,155,0.4353932584269663
129,aycha_sawa,144,0.4472049689440994
130,aycha_sawa,99,0.6513157894736842
131,aycha_sawa,227,0.5850515463917526
132,aycha_sawa,285,0.4896907216494845
133,alex_brower,86,0.4236453201970443
134,aycha_sawa,92,0.41818181818181815
135,aycha_sawa,138,0.41566265060240964
136,aycha_sawa,101,0.4190871369294606
137,alex_brower,89,0.4320388349514563
138,alex_brower,436,0.6038781163434903
139,alex_brower,171,0.46467391304347827
140,jason_fields,48,0.5
141,jason_fields,85,0.5743243243243243
142,jason_fields,109,0.6646341463414634
143,jason_fields,53,0.6794871794871795
144,jason_fields,75,0.78125
145,jason_fields,30,0.75
146,jason_fields,25,0.6756756756756757
147,jason_fields,74,0.6218487394957983
148,jason_fields,85,0.7203389830508474
149,jason_fields,70,0.6796116504854369
150,jason_fields,60,0.6185567010309279
151,jason_fields,42,0.6
152,jason_fields,37,0.7115384615384616
153,jason_fields,109,0.6337209302325582
154,jason_fields,84,0.7
155,jason_fields,33,0.6470588235294118
156,jason_fields,102,0.7285714285714285
157,jason_fields,66,0.5365853658536586
