WARD,votes_jason_fields,votes_aycha_sawa,votes_alex_brower,votes_write_in,percent_jason_fields,percent_aycha_sawa,percent_alex_brower,percent_write_in
84,71,62,41,1,0.4057142857142857,0.35428571428571426,0.2342857142857143,0.005714285714285714
85,77,127,71,1,0.27898550724637683,0.4601449275362319,0.2572463768115942,0.0036231884057971015
86,75,83,55,3,0.3472222222222222,0.38425925925925924,0.25462962962962965,0.013888888888888888
87,59,67,43,2,0.34502923976608185,0.391812865497076,0.25146198830409355,0.011695906432748537
88,78,79,60,1,0.3577981651376147,0.3623853211009174,0.27522935779816515,0.0045871559633027525
89,100,82,44,3,0.4366812227074236,0.35807860262008734,0.19213973799126638,0.013100436681222707
90,100,62,61,5,0.43859649122807015,0.2719298245614035,0.2675438596491228,0.021929824561403508
91,170,45,54,1,0.6296296296296297,0.16666666666666666,0.2,0.003703703703703704
92,122,114,82,1,0.3824451410658307,0.3573667711598746,0.25705329153605017,0.003134796238244514
93,67,103,53,4,0.29515418502202645,0.45374449339207046,0.23348017621145375,0.01762114537444934
94,40,16,12,3,0.5633802816901409,0.22535211267605634,0.16901408450704225,0.04225352112676056
95,73,22,13,2,0.6636363636363637,0.2,0.11818181818181818,0.01818181818181818
96,156,77,55,0,0.5416666666666666,0.2673611111111111,0.1909722222222222,0
97,133,61,43,2,0.5564853556485355,0.25523012552301255,0.1799163179916318,0.008368200836820083
98,146,32,36,2,0.6759259259259259,0.14814814814814814,0.16666666666666666,0.009259259259259259
99,204,62,53,6,0.6276923076923077,0.19076923076923077,0.16307692307692306,0.018461538461538463
100,139,29,34,0,0.6881188118811881,0.14356435643564355,0.16831683168316833,0
101,180,35,31,0,0.7317073170731707,0.14227642276422764,0.12601626016260162,0
102,184,67,44,0,0.6237288135593221,0.2271186440677966,0.14915254237288136,0
103,211,60,53,1,0.6492307692307693,0.18461538461538463,0.16307692307692306,0.003076923076923077
104,172,46,31,2,0.6852589641434262,0.18326693227091634,0.12350597609561753,0.00796812749003984
105,56,15,14,2,0.6436781609195402,0.1724137931034483,0.16091954022988506,0.022988505747126436
106,52,6,11,0,0.7536231884057971,0.08695652173913043,0.15942028985507245,0
107,87,15,23,0,0.696,0.12,0.184,0
108,90,17,14,1,0.7377049180327869,0.13934426229508196,0.11475409836065574,0.00819672131147541
109,79,25,30,1,0.5851851851851851,0.18518518518518517,0.2222222222222222,0.007407407407407408
110,58,11,17,1,0.6666666666666666,0.12643678160919541,0.19540229885057472,0.011494252873563218
111,42,8,16,0,0.6363636363636364,0.12121212121212122,0.24242424242424243,0
112,85,8,31,1,0.68,0.064,0.248,0.008
113,65,15,26,1,0.6074766355140186,0.14018691588785046,0.24299065420560748,0.009345794392523364
114,87,18,20,1,0.6904761904761905,0.14285714285714285,0.15873015873015872,0.007936507936507936
115,120,15,38,0,0.6936416184971098,0.08670520231213873,0.21965317919075145,0
116,64,13,13,1,0.7032967032967034,0.14285714285714285,0.14285714285714285,0.01098901098901099
117,55,20,24,0,0.5555555555555556,0.20202020202020202,0.24242424242424243,0
118,99,17,25,2,0.6923076923076923,0.11888111888111888,0.17482517482517482,0.013986013986013986
119,95,25,30,2,0.625,0.16447368421052633,0.19736842105263158,0.013157894736842105
120,62,13,22,0,0.6391752577319587,0.13402061855670103,0.2268041237113402,0
121,81,13,17,2,0.7168141592920354,0.11504424778761062,0.1504424778761062,0.017699115044247787
122,87,24,44,1,0.5576923076923077,0.15384615384615385,0.28205128205128205,0.00641025641025641
123,54,58,107,4,0.242152466367713,0.2600896860986547,0.4798206278026906,0.017937219730941704
124,50,36,35,0,0.4132231404958678,0.2975206611570248,0.2892561983471074,0
125,70,142,233,6,0.15521064301552107,0.3148558758314856,0.516629711751663,0.013303769401330377
126,76,102,191,3,0.20430107526881722,0.27419354838709675,0.5134408602150538,0.008064516129032258
127,49,168,149,2,0.1331521739130435,0.45652173913043476,0.4048913043478261,0.005434782608695652
128,65,155,131,5,0.18258426966292135,0.4353932584269663,0.36797752808988765,0.014044943820224719
129,74,144,100,4,0.22981366459627328,0.4472049689440994,0.3105590062111801,0.012422360248447204
130,25,99,27,1,0.16447368421052633,0.6513157894736842,0.17763157894736842,0.006578947368421052
131,87,227,73,1,0.22422680412371135,0.5850515463917526,0.18814432989690721,0.002577319587628866
132,131,285,162,4,0.22508591065292097,0.4896907216494845,0.27835051546391754,0.006872852233676976
133,36,80,86,1,0.17733990147783252,0.39408866995073893,0.4236453201970443,0.0049261083743842365
134,46,92,79,3,0.20909090909090908,0.41818181818181815,0.35909090909090907,0.013636363636363636
135,79,138,109,6,0.23795180722891565,0.41566265060240964,0.32831325301204817,0.018072289156626505
136,54,101,85,1,0.22406639004149378,0.4190871369294606,0.35269709543568467,0.004149377593360996
137,33,81,89,3,0.16019417475728157,0.3932038834951456,0.4320388349514563,0.014563106796116505
138,88,194,436,4,0.12188365650969529,0.26869806094182824,0.6038781163434903,0.00554016620498615
139,96,98,171,3,0.2608695652173913,0.266304347826087,0.46467391304347827,0.008152173913043478
140,48,24,23,1,0.5,0.25,0.23958333333333334,0.010416666666666666
141,85,22,40,1,0.5743243243243243,0.14864864864864866,0.2702702702702703,0.006756756756756757
142,109,26,29,0,0.6646341463414634,0.15853658536585366,0.17682926829268292,0
143,53,7,17,1,0.6794871794871795,0.08974358974358974,0.21794871794871795,0.01282051282051282
144,75,8,13,0,0.78125,0.08333333333333333,0.13541666666666666,0
145,30,3,7,0,0.75,0.075,0.175,0
146,25,7,5,0,0.6756756756756757,0.1891891891891892,0.13513513513513514,0
147,74,12,30,3,0.6218487394957983,0.10084033613445378,0.25210084033613445,0.025210084033613446
148,85,15,18,0,0.7203389830508474,0.1271186440677966,0.15254237288135594,0
149,70,13,19,1,0.6796116504854369,0.1262135922330097,0.18446601941747573,0.009708737864077669
150,60,20,16,1,0.6185567010309279,0.20618556701030927,0.16494845360824742,0.010309278350515464
151,42,7,21,0,0.6,0.1,0.3,0
152,37,4,11,0,0.7115384615384616,0.07692307692307693,0.21153846153846154,0
153,109,26,34,3,0.6337209302325582,0.1511627906976744,0.19767441860465115,0.01744186046511628
154,84,13,22,1,0.7,0.10833333333333334,0.18333333333333332,0.008333333333333333
155,33,9,8,1,0.6470588235294118,0.17647058823529413,0.1568627450980392,0.0196078431372549
156,102,18,20,0,0.7285714285714285,0.12857142857142856,0.14285714285714285,0
157,66,30,27,0,0.5365853658536586,0.24390243902439024,0.21951219512195122,0
158,56,19,18,1,0.5957446808510638,0.20212765957446807,0.19148936170212766,0.010638297872340425
159,50,21,23,1,0.5263157894736842,0.22105263157894736,0.24210526315789474,0.010526315789473684
160,69,25,24,0,0.5847457627118644,0.211864406779661,0.2033898305084746,0
161,21,12,4,1,0.5526315789473685,0.3157894736842105,0.10526315789473684,0.02631578947368421
162,31,11,9,0,0.6078431372549019,0.21568627450980393,0.17647058823529413,0
163,59,24,26,1,0.5363636363636364,0.21818181818181817,0.23636363636363636,0.00909090909090909
164,95,47,46,2,0.5,0.24736842105263157,0.24210526315789474,0.010526315789473684
165,53,40,47,3,0.3706293706293706,0.27972027972027974,0.32867132867132864,0.02097902097902098
166,20,31,15,0,0.30303030303030304,0.4696969696969697,0.22727272727272727,0
167,90,119,77,2,0.3125,0.4131944444444444,0.2673611111111111,0.006944444444444444
168,160,236,189,2,0.272572402044293,0.4020442930153322,0.3219761499148211,0.0034071550255536627
169,30,13,15,0,0.5172413793103449,0.22413793103448276,0.25862068965517243,0
170,31,15,11,0,0.543859649122807,0.2631578947368421,0.19298245614035087,0
171,16,2,1,0,0.8421052631578947,0.10526315789473684,0.05263157894736842,0
172,70,15,27,1,0.6194690265486725,0.13274336283185842,0.23893805309734514,0.008849557522123894
173,78,15,14,1,0.7222222222222222,0.1388888888888889,0.12962962962962962,0.009259259259259259
174,135,26,31,0,0.703125,0.13541666666666666,0.16145833333333334,0
175,85,40,40,0,0.5151515151515151,0.24242424242424243,0.24242424242424243,0
176,75,15,28,0,0.635593220338983,0.1271186440677966,0.23728813559322035,0
177,133,222,149,6,0.2607843137254902,0.43529411764705883,0.29215686274509806,0.011764705882352941
178,126,160,107,2,0.3189873417721519,0.4050632911392405,0.2708860759493671,0.005063291139240506
179,111,176,148,5,0.25227272727272726,0.4,0.33636363636363636,0.011363636363636364
180,77,137,88,2,0.2532894736842105,0.4506578947368421,0.2894736842105263,0.006578947368421052
181,151,268,121,2,0.2785977859778598,0.4944649446494465,0.22324723247232472,0.0036900369003690036
182,112,170,115,3,0.28,0.425,0.2875,0.0075
183,116,202,142,3,0.2505399568034557,0.43628509719222464,0.30669546436285094,0.0064794816414686825
184,120,152,104,3,0.316622691292876,0.40105540897097625,0.27440633245382584,0.0079155672823219
185,130,183,100,8,0.3087885985748218,0.4346793349168646,0.2375296912114014,0.019002375296912115
186,121,210,90,3,0.28537735849056606,0.49528301886792453,0.21226415094339623,0.007075471698113208
187,48,48,34,2,0.36363636363636365,0.36363636363636365,0.25757575757575757,0.015151515151515152
188,34,46,18,1,0.3434343434343434,0.46464646464646464,0.18181818181818182,0.010101010101010102
189,74,47,42,1,0.45121951219512196,0.2865853658536585,0.25609756097560976,0.006097560975609756
190,50,66,47,1,0.3048780487804878,0.4024390243902439,0.2865853658536585,0.006097560975609756
191,13,33,19,0,0.2,0.5076923076923077,0.2923076923076923,0
192,11,27,11,1,0.22,0.54,0.22,0.02
193,62,29,29,0,0.5166666666666667,0.24166666666666667,0.24166666666666667,0
194,35,16,34,1,0.4069767441860465,0.18604651162790697,0.3953488372093023,0.011627906976744186
195,44,22,20,0,0.5116279069767442,0.2558139534883721,0.23255813953488372,0
196,54,31,17,0,0.5294117647058824,0.30392156862745096,0.16666666666666666,0
197,35,15,17,1,0.5147058823529411,0.22058823529411764,0.25,0.014705882352941176
198,52,32,35,3,0.4262295081967213,0.26229508196721313,0.28688524590163933,0.02459016393442623
199,98,40,44,2,0.532608695652174,0.21739130434782608,0.2391304347826087,0.010869565217391304
200,36,21,18,0,0.48,0.28,0.24,0
201,30,21,17,0,0.4411764705882353,0.3088235294117647,0.25,0
202,70,73,94,1,0.29411764705882354,0.3067226890756303,0.3949579831932773,0.004201680672268907
203,98,157,101,3,0.27298050139275765,0.4373259052924791,0.28133704735376047,0.008356545961002786
204,65,111,88,2,0.24436090225563908,0.41729323308270677,0.3308270676691729,0.007518796992481203
205,70,122,46,0,0.29411764705882354,0.5126050420168067,0.19327731092436976,0
206,53,140,68,1,0.20229007633587787,0.5343511450381679,0.2595419847328244,0.003816793893129771
207,59,55,44,1,0.3710691823899371,0.34591194968553457,0.27672955974842767,0.006289308176100629
208,56,87,48,5,0.2857142857142857,0.44387755102040816,0.24489795918367346,0.025510204081632654
209,76,65,48,2,0.39790575916230364,0.3403141361256545,0.2513089005235602,0.010471204188481676
210,51,64,41,0,0.3269230769230769,0.41025641025641024,0.26282051282051283,0
211,48,57,42,3,0.32,0.38,0.28,0.02
212,64,47,32,0,0.44755244755244755,0.32867132867132864,0.22377622377622378,0
213,67,68,54,0,0.3544973544973545,0.35978835978835977,0.2857142857142857,0
214,38,46,38,0,0.3114754098360656,0.3770491803278688,0.3114754098360656,0
215,14,18,25,0,0.24561403508771928,0.3157894736842105,0.43859649122807015,0
216,25,14,11,1,0.49019607843137253,0.27450980392156865,0.21568627450980393,0.0196078431372549
217,36,35,35,1,0.3364485981308411,0.32710280373831774,0.32710280373831774,0.009345794392523364
218,58,45,51,1,0.3741935483870968,0.2903225806451613,0.32903225806451614,0.0064516129032258064
219,27,26,41,1,0.28421052631578947,0.2736842105263158,0.43157894736842106,0.010526315789473684
220,31,36,30,3,0.31,0.36,0.3,0.03
221,103,70,74,1,0.4153225806451613,0.28225806451612906,0.29838709677419356,0.004032258064516129
222,37,26,21,1,0.43529411764705883,0.3058823529411765,0.24705882352941178,0.011764705882352941
223,36,36,33,1,0.33962264150943394,0.33962264150943394,0.3113207547169811,0.009433962264150943
224,18,10,19,0,0.3829787234042553,0.2127659574468085,0.40425531914893614,0
225,17,17,18,0,0.3269230769230769,0.3269230769230769,0.34615384615384615,0
226,11,14,11,0,0.3055555555555556,0.3888888888888889,0.3055555555555556,0
227,50,37,41,0,0.390625,0.2890625,0.3203125,0
228,15,12,13,0,0.375,0.3,0.325,0
229,10,4,12,0,0.38461538461538464,0.15384615384615385,0.46153846153846156,0
230,37,11,31,0,0.46835443037974683,0.13924050632911392,0.3924050632911392,0
231,7,10,5,0,0.3181818181818182,0.45454545454545453,0.22727272727272727,0
232,6,4,7,0,0.35294117647058826,0.23529411764705882,0.4117647058823529,0
233,3,4,9,0,0.1875,0.25,0.5625,0
234,12,31,28,0,0.16901408450704225,0.43661971830985913,0.39436619718309857,0
235,89,143,103,5,0.26176470588235295,0.42058823529411765,0.3029411764705882,0.014705882352941176
236,16,15,29,2,0.25806451612903225,0.24193548387096775,0.46774193548387094,0.03225806451612903
237,21,30,17,0,0.3088235294117647,0.4411764705882353,0.25,0
238,13,7,17,1,0.34210526315789475,0.18421052631578946,0.4473684210526316,0.02631578947368421
239,15,28,20,0,0.23809523809523808,0.4444444444444444,0.31746031746031744,0
240,32,23,30,0,0.3764705882352941,0.27058823529411763,0.35294117647058826,0
241,78,137,135,2,0.2215909090909091,0.38920454545454547,0.3835227272727273,0.005681818181818182
242,49,110,123,2,0.17253521126760563,0.3873239436619718,0.43309859154929575,0.007042253521126761
243,101,208,166,1,0.21218487394957983,0.4369747899159664,0.3487394957983193,0.0021008403361344537
244,76,136,136,1,0.2177650429799427,0.38968481375358166,0.38968481375358166,0.0028653295128939827
245,87,123,94,3,0.28338762214983715,0.4006514657980456,0.30618892508143325,0.009771986970684038
246,107,198,185,2,0.21747967479674796,0.4024390243902439,0.37601626016260165,0.0040650406504065045
247,43,87,91,1,0.19369369369369369,0.3918918918918919,0.4099099099099099,0.0045045045045045045
248,112,149,171,2,0.25806451612903225,0.3433179723502304,0.39400921658986177,0.004608294930875576
249,23,11,16,1,0.45098039215686275,0.21568627450980393,0.3137254901960784,0.0196078431372549
250,12,21,15,1,0.24489795918367346,0.42857142857142855,0.30612244897959184,0.02040816326530612
251,13,14,15,0,0.30952380952380953,0.3333333333333333,0.35714285714285715,0
252,20,15,23,0,0.3448275862068966,0.25862068965517243,0.39655172413793105,0
253,6,6,9,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0
254,4,4,6,2,0.25,0.25,0.375,0.125
255,12,11,7,0,0.4,0.36666666666666664,0.23333333333333334,0
256,11,6,10,0,0.4074074074074074,0.2222222222222222,0.37037037037037035,0
257,27,30,27,2,0.313953488372093,0.3488372093023256,0.313953488372093,0.023255813953488372
258,52,40,54,0,0.3561643835616438,0.273972602739726,0.3698630136986301,0
259,38,30,29,1,0.3877551020408163,0.30612244897959184,0.29591836734693877,0.01020408163265306
260,31,24,24,0,0.3924050632911392,0.3037974683544304,0.3037974683544304,0
261,51,54,28,1,0.3805970149253731,0.40298507462686567,0.208955223880597,0.007462686567164179
262,90,112,60,2,0.3409090909090909,0.42424242424242425,0.22727272727272727,0.007575757575757576
263,32,49,44,0,0.256,0.392,0.352,0
264,74,131,69,2,0.26811594202898553,0.4746376811594203,0.25,0.007246376811594203
265,46,48,51,1,0.3150684931506849,0.3287671232876712,0.3493150684931507,0.00684931506849315
266,63,49,43,0,0.4064516129032258,0.3161290322580645,0.27741935483870966,0
267,46,46,40,1,0.3458646616541353,0.3458646616541353,0.3007518796992481,0.007518796992481203
268,98,105,88,5,0.3310810810810811,0.3547297297297297,0.2972972972972973,0.016891891891891893
269,87,70,60,1,0.39908256880733944,0.3211009174311927,0.27522935779816515,0.0045871559633027525
270,67,72,53,1,0.3471502590673575,0.37305699481865284,0.27461139896373055,0.0051813471502590676
271,114,106,115,2,0.33827893175074186,0.314540059347181,0.34124629080118696,0.005934718100890208
